"","dt","temp","ax","ay","az","gx","gy","gz","distance","velocity","name","type","hr","date","time","channel","depth","depth.top","ax.c","ay.c","az.c","gx.c","gy.c","gz.c","lux","doy","doy.name","river"
"1",2016-06-08 09:56:00,20.901,NA,NA,NA,NA,NA,NA,0,0.622523462,"4B","sub",NA,"6/8/2016","9:56:00",1,NA,NA,NA,NA,NA,NA,NA,NA,1636.1,160,"160.4B","UMR"
"2",2016-06-08 09:57:00,20.901,NA,NA,NA,NA,NA,NA,37.35140743,0.622523462,"4B","sub",NA,"6/8/2016","9:57:00",1,NA,NA,NA,NA,NA,NA,NA,NA,3444.5,160,"160.4B","UMR"
"3",2016-06-08 09:58:00,20.901,NA,NA,NA,NA,NA,NA,74.70281526,0.622523462,"4B","sub",NA,"6/8/2016","9:58:00",1,NA,NA,NA,NA,NA,NA,NA,NA,3961.1,160,"160.4B","UMR"
"4",2016-06-08 09:59:00,20.901,NA,NA,NA,NA,NA,NA,112.0542231,0.622523462,"4B","sub",NA,"6/8/2016","9:59:00",1,NA,NA,NA,NA,NA,NA,NA,NA,3444.5,160,"160.4B","UMR"
"5",2016-06-08 10:00:00,20.901,NA,NA,NA,NA,NA,NA,149.4056305,0.622523462,"4B","sub",NA,"6/8/2016","10:00:00",1,NA,NA,NA,NA,NA,NA,NA,NA,1550,160,"160.4B","UMR"
"6",2016-06-08 10:01:00,20.901,NA,NA,NA,NA,NA,NA,186.7570383,0.622523462,"4B","sub",NA,"6/8/2016","10:01:00",1,NA,NA,NA,NA,NA,NA,NA,NA,2497.2,160,"160.4B","UMR"
"7",2016-06-08 10:02:00,20.901,NA,NA,NA,NA,NA,NA,224.1084462,0.622523462,"4B","sub",NA,"6/8/2016","10:02:00",1,NA,NA,NA,NA,NA,NA,NA,NA,4133.4,160,"160.4B","UMR"
"8",2016-06-08 10:03:00,20.901,NA,NA,NA,NA,NA,NA,261.4598536,0.622523462,"4B","sub",NA,"6/8/2016","10:03:00",1,NA,NA,NA,NA,NA,NA,NA,NA,6544.5,160,"160.4B","UMR"
"9",2016-06-08 10:04:00,20.996,NA,NA,NA,NA,NA,NA,298.8112614,0.622523462,"4B","sub",NA,"6/8/2016","10:04:00",1,NA,NA,NA,NA,NA,NA,NA,NA,7233.4,160,"160.4B","UMR"
"10",2016-06-08 10:05:00,20.996,NA,NA,NA,NA,NA,NA,336.1626692,0.622523462,"4B","sub",NA,"6/8/2016","10:05:00",1,NA,NA,NA,NA,NA,NA,NA,NA,2497.2,160,"160.4B","UMR"
"11",2016-06-08 10:06:00,20.996,NA,NA,NA,NA,NA,NA,373.5140767,0.622523462,"4B","sub",NA,"6/8/2016","10:06:00",1,NA,NA,NA,NA,NA,NA,NA,NA,3616.7,160,"160.4B","UMR"
"12",2016-06-08 10:07:00,20.901,NA,NA,NA,NA,NA,NA,410.8654845,0.622523462,"4B","sub",NA,"6/8/2016","10:07:00",1,NA,NA,NA,NA,NA,NA,NA,NA,3444.5,160,"160.4B","UMR"
